nVehicles,nRsu,simTime,rsuCoverageRadius,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,txAllVehicles,enableReplayCheck,enableSigCheck,enableReports,enableBlockchain,enableTrustGate,attackMode,maliciousRate,txData,rxVehData,rxRsuData,expectedRx,pdr_norm,avgDelay_s,throughput_bps,replayDrops,sigDrops,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,malFast,malFull,malReject,honFast,honFull,honReject,scenario,file,avgHandoverDelay_ms
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666015,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Continuity,trust_continuity_seed1,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666013,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Continuity,trust_continuity_seed2,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666012,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Continuity,trust_continuity_seed3,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666012,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Continuity,trust_continuity_seed4,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666011,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Continuity,trust_continuity_seed5,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666015,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Local,trust_local_seed1,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666013,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Local,trust_local_seed2,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666012,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Local,trust_local_seed3,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666012,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Local,trust_local_seed4,0.0
10.0,2.0,20.0,120.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,1950.0,17550.0,3900.0,17550.0,1.0,0.000666011,645840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Trust_Local,trust_local_seed5,0.0
