time_s,event,details
0,BLOCK_MINE_START,block_next=1
0.05,BLOCK_COMMIT_DONE,block=1,items=0,lat_s=0.050000
1,REPORT_SENT,by=0,about=4,delta=0.020000
1,REPORT_SENT,by=1,about=2,delta=0.020000
1,REPORT_SENT,by=2,about=2,delta=0.020000
1,REPORT_SENT,by=3,about=1,delta=0.020000
1,REPORT_SENT,by=4,about=2,delta=0.020000
1,REPORT_SENT,by=5,about=8,delta=-0.050000
1,REPORT_SENT,by=6,about=6,delta=0.020000
1,REPORT_SENT,by=7,about=0,delta=0.020000
1,REPORT_SENT,by=8,about=8,delta=0.020000
1,REPORT_SENT,by=9,about=3,delta=0.020000
1.00084,DATA_RX_OK,rx=1,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=11,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=2,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=3,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=5,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=8,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=10,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=4,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=9,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=7,sender=0,delay_s=0.000841
1.00084,DATA_RX_OK,rx=6,sender=0,delay_s=0.000841
1.00085,REPORT_RX_RSU,rsu=10,by=0,about=4,delta=0.020000
1.00153,REPORT_RX_RSU,rsu=10,by=5,about=8,delta=-0.050000
1.00258,REPORT_RX_RSU,rsu=10,by=8,about=8,delta=0.020000
1.00366,REPORT_RX_RSU,rsu=10,by=1,about=2,delta=0.020000
1.00466,REPORT_RX_RSU,rsu=10,by=4,about=2,delta=0.020000
1.00665,REPORT_RX_RSU,rsu=10,by=7,about=0,delta=0.020000
1.00862,REPORT_RX_RSU,rsu=10,by=9,about=3,delta=0.020000
1.05,BLOCK_MINE_START,block_next=2
1.1,BLOCK_COMMIT_ITEM,accused=4,delta=0.020000,trust=0.720000
1.1,BLOCK_COMMIT_ITEM,accused=8,delta=-0.050000,trust=0.650000
1.1,BLOCK_COMMIT_ITEM,accused=8,delta=0.020000,trust=0.670000
1.1,BLOCK_COMMIT_ITEM,accused=2,delta=0.020000,trust=0.720000
1.1,BLOCK_COMMIT_ITEM,accused=2,delta=0.020000,trust=0.740000
1.1,BLOCK_COMMIT_ITEM,accused=0,delta=0.020000,trust=0.720000
1.1,BLOCK_COMMIT_ITEM,accused=3,delta=0.020000,trust=0.720000
1.1,BLOCK_COMMIT_DONE,block=2,items=7,lat_s=0.050000
1.10066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.10066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.20066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.30066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.40066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.50066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.60066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.70066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.80066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=11,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=1,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=2,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=5,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=3,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=8,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=10,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=4,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=7,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=9,sender=0,delay_s=0.000662
1.90066,DATA_RX_OK,rx=6,sender=0,delay_s=0.000662
2,REPLAY_SENT,nonce=1900000000
2,REPORT_SENT,by=0,about=7,delta=0.020000
2,REPORT_SENT,by=1,about=3,delta=0.020000
2,REPORT_SENT,by=2,about=5,delta=0.020000
2,REPORT_SENT,by=3,about=8,delta=-0.050000
2,REPORT_SENT,by=4,about=0,delta=0.020000
2,REPORT_SENT,by=5,about=5,delta=-0.050000
2,REPORT_SENT,by=6,about=4,delta=-0.050000
2,REPORT_SENT,by=7,about=2,delta=0.020000
2,REPORT_SENT,by=8,about=1,delta=-0.050000
2,REPORT_SENT,by=9,about=4,delta=0.020000
2.00019,REPORT_RX_RSU,rsu=10,by=4,about=0,delta=0.020000
2.00047,REPORT_RX_RSU,rsu=10,by=5,about=5,delta=-0.050000
2.00067,REPORT_RX_RSU,rsu=10,by=0,about=7,delta=0.020000
2.00086,REPORT_RX_RSU,rsu=10,by=8,about=1,delta=-0.050000
2.00127,REPORT_RX_RSU,rsu=10,by=9,about=4,delta=0.020000
2.00139,DATA_DROP_REPLAY,rx=11,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=1,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=2,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=5,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=3,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=8,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=10,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=4,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=7,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=9,sender=0,nonce=1900000000
2.00139,DATA_DROP_REPLAY,rx=6,sender=0,nonce=1900000000
2.00172,REPORT_RX_RSU,rsu=10,by=1,about=3,delta=0.020000
2.00182,DATA_RX_OK,rx=11,sender=0,delay_s=0.001825
2.00182,DATA_RX_OK,rx=1,sender=0,delay_s=0.001825
2.00182,DATA_RX_OK,rx=2,sender=0,delay_s=0.001825
2.00182,DATA_RX_OK,rx=5,sender=0,delay_s=0.001825
2.00182,DATA_RX_OK,rx=3,sender=0,delay_s=0.001825
2.00182,DATA_RX_OK,rx=8,sender=0,delay_s=0.001825
2.00182,DATA_RX_OK,rx=10,sender=0,delay_s=0.001825
2.00182,DATA_RX_OK,rx=4,sender=0,delay_s=0.001825
2.00183,DATA_RX_OK,rx=7,sender=0,delay_s=0.001825
2.00183,DATA_RX_OK,rx=9,sender=0,delay_s=0.001825
2.00183,DATA_RX_OK,rx=6,sender=0,delay_s=0.001825
2.00199,REPORT_RX_RSU,rsu=10,by=7,about=2,delta=0.020000
2.1,BLOCK_MINE_START,block_next=3
2.10066,DATA_DROP_SIG,rx=11,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=1,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=5,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=2,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=3,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=8,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=10,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=4,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=7,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=9,sender=0,nonce=2100000000
2.10066,DATA_DROP_SIG,rx=6,sender=0,nonce=2100000000
2.15,BLOCK_COMMIT_ITEM,accused=0,delta=0.020000,trust=0.740000
2.15,BLOCK_COMMIT_ITEM,accused=5,delta=-0.050000,trust=0.650000
2.15,BLOCK_COMMIT_ITEM,accused=7,delta=0.020000,trust=0.720000
2.15,BLOCK_COMMIT_ITEM,accused=1,delta=-0.050000,trust=0.650000
2.15,BLOCK_COMMIT_ITEM,accused=4,delta=0.020000,trust=0.740000
2.15,BLOCK_COMMIT_ITEM,accused=3,delta=0.020000,trust=0.740000
2.15,BLOCK_COMMIT_ITEM,accused=2,delta=0.020000,trust=0.760000
2.15,BLOCK_COMMIT_DONE,block=3,items=7,lat_s=0.050000
2.20066,DATA_DROP_SIG,rx=11,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=1,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=5,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=2,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=3,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=8,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=10,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=4,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=7,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=9,sender=0,nonce=2200000000
2.20066,DATA_DROP_SIG,rx=6,sender=0,nonce=2200000000
